author,comment
b*****o,"Paket sudah sampai, pengirimannya cepat banget, bahannya juga adem banget halus dan lembut, gambarnya juga desainnya bagus dan tinta yg di gunakan juga bagus.. recomended"
ferianto_very,"Alhamdulillah mendarat dg aman,dan suami suka..
Seneng jg dapet hrga diskon,Krn siapa yg ga seneng tau hrga normalnya lumayan mahal tp ini sih emang bagus bahanya original erigo jg,cuma yg hijau rada kebesaran dg BB 63 an .tp gpp deh .."
vmui5j00ju,"Baju nya udah datang, bahannya enak. Harga diskon lagi.."
n*****o,"Pengiriman dan pengemasan cepat,produk erigo sudah ga perlu diragukan lagi sudah pasti bagus.adem banget di pake.dan dapet harga flash sale dong ah bahagia banget.terimakasih erigo."
s*****a,"Bagus bangett recommended kualitas sesuai harga, Bahan tebal, adem, nyaman ,Sablonan jga bagus,Gk ada yg luntur, Terimakasih Errigo , the best pokoknya 💯"
r*****_,Gaperna gagal su erigo pasti bagus bgt🥰 sellernya ramah bgt .
anjelly2505,"Maaf foto&video ada ngga sesuai, itu aslinya bagus bgt warna kaosnya, cuma kena efek kamera+pencahayaan jadi kayak mbulak 😂"
rizka_christian,"makasi ya, bagus banget sesuai pesanan.. bahannya dingin, gambarnya juga bagus, dapet bonus stiker.. ini produk lokal tapi bagus banget ga kalah sama merk lainnya hehe.. thank you ya ❤️🧡💛💚💜💜🤎🖤"
n*****3,"Pertama kali order, karena penasaran katanya sih bagus. Dan emg bagus, cuma bahannya kurang tebel aja selebihnya OK👌"
h*****1,"Bagus, aku suka kain nya adem, mas kurirnya juga baik, ekpedisi pengiriman nya juga cepat, terima kasih erigo."
8*****p,"First time order dan beneran sebagus itu dong bahannya motif motifnya jg bagus bagus, g nyesel order lg sampe 2x nanti ketika orderan yg ke 2 datang semoga ttp sebagus dan senyaman itu ya kualitasnya 😍oiya pelayananya jg mantap miminnya ramah banget lho"
y*****6,"cepet banget sampai nya,pakinya baguss,👍😍baguus bangett kainya.. lembut, gaktipis, ademm, 
next order lah yaaah.. 😎😎😍😍😍 
barang sampai sesuai orderan😍😍😍"
aji5421,Bahannya adem. Alhamdulillah... Recomended...  yg ukurannya ga tll panjang bawahnya ada ga ya?
ikanajiha,"Kualitas produk baik, bahannya lumayan sih, agak tipis dikit tp gpp oke kok"
d*****a,Bahan nya dingin lembut gambaran nya halus model nya bagus
q*****s,"produknya bagus, packing juga rapi...terimakasih kak 😃🙏

nitip suami ya kak hehe, saya lupa ngevideoin barangnya 🙂🙌"
s*****4,"Ini kaos ke 3 yg aku beli, tp knp kualitasnya menurun ya? 😂 
Beda banget sama erigo yg pertama kali aku beli tahun lalu. Yg skrg bahannya tipis, agak kasar, jahitan ga rapi. Kyk ga worthy kalo beli dg harga asli Rp 185rb. Untung belinya pas harga promo. Apa gara2 harga promo kualitasnya dikurangi?"
subur_cahyono,Alhamdulillah... barang nya sangat bagus... kualitas terbaik... printing nya juga halus...adem... cocok untuk gaul seharian
dedebahrudin1234,"Barang sudah sampai, pengiriman cepet banget cuma satu hari sampe,ok bamget lah,bahan lembut banget pasti adem, makasih"
h*****a,"Kualitas produk sangat baik.
Produk Original.
Harga produk sangat baik.
Kecepatan pengiriman baik.

Bahan adem di kulit.
Sesuai pesanan, tp ukuran beda. Padahal beli nya sama2 ukuran M tp beda nya lumayan. Ukuran lengan sama panjang bawahnya beda."
l*****4,suka suka sukaaa bagus bagus baguss maaf gabisa di buka langsung🥰
mikhajojo,"Untuk harga segini yah cukup baiklah ya, bahan nya agak tipis emang, tp masih nyaman dipake nya , untuk pengemasan ok, tp sayang cutting nya masih berantakan, alias masih banyak benang yg blm terpotong ,"
n*****8,Kualitas produk sangat baik. Produk original. Harga produk sangat baik. Kecepatan pengiriman sangat baik.
jokotengkumuhammad,Kualitas bagus banget sesuai harga pengiriman super cepat malam pesen pagi langsung sampai
achmad.kamaludin,"Barang sangat bagus sekali
Kainnya tebal sangat puas
Lembut banget nyaman di pakai adeeeeeeemmmmmmmm
Pokoknya mantap banget
Sangat puas sekali
Pengen beli lagi tapi nunggu gajian lagi hehehehe"
n*****8,"Bagus bagus bagus
Next mau order lagi, packing rapi banget,ga kusut pas nyampe"
rahma_syaiif,"Baru pertamakali Order tapi sudah se suka itu sama produknya 😍😍😍😍😍 sesuai ekpetasi banget ✨
Pengiriman cepat! NEXT! BAKALAN ORDER LAGI, daaann Adminx baik banger Responnya RAMAH BANGET 👍👍👍👍👍👍👍👍
Makasih Yaa🥰"
i*****o,Bagus banget gak nyesel beli disini. Packing jg bgus bnget semoga bisa beli lagi.
n*****a,Bajunya mudah-mudahan cocok sama suami dan semoga bodynya pass 😁
y*****4,"Akhirnya sampe juga. Karena traffic pengirimannya padet banget, jadi agak lama sampenya. Overall barang bagus banget lah, packaging juga mantap. Dan yang paling bagus pelayanannya. Ntaps !"
dewii_kartinii9,"Thanks seller barangnya bagus. Adikku suka. Nahannya adem. Recommended buat anak"" muda"
noktintin358,"Kaosnya bagus banget...bahanya adem... Motif dan warnanya sesuai banget. Suamiku suka..size XL pas bgt di badan suami aku.
Pengiriman juga terbilang cepet.
Makasih seller . Next bakal order lagih"
deswita_fadyia,"bahan nya sama seperti yg biasa suami beli,pengiriman cepat juga.kado buat suami,semoga pas suami pulang kerja langsung suka😁"
k*****1,"Kualitas produk sangat baik, bahannya juga adem
Thanks seller😊"
d*****h,Terima kasih paket sudah datang dan barangnya okeh ya bagus dan saya suka
k*****s,"Bagus bgtttttt
Kain nya adem ngga gerah sama sekali 
Next aq mau beli lagi"
dianaviv,"Bajunya bagus ....
Sesuai pesanan .
mudah mudahan anak ku suka sama baju nya .."
